Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Final consumption expenditure (constant 2005 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6187173356,6424497766,6658300786,6760907819,7062215193,7405571814,7656307532,7768915897,8247923548,8702569972,8861713909,10285068848,10509240376,11037710162,
Final consumption expenditure (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84774E+11,3.99533E+11,4.14073E+11,4.20454E+11,4.39192E+11,4.60545E+11,4.76138E+11,4.83141E+11,5.1293E+11,5.41204E+11,5.51101E+11,6.39618E+11,6.53559E+11,6.86424E+11,
Gross national expenditure deflator (base year varies by country),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0462499,103.8078108,108.6307438,113.256646,120.2768551,130.6369754,141.1381719,149.3792219,172.0619444,190.6100837,210.6767558,223.9419783,239.8391136,256.3102718,
Gross national expenditure (current US$),,,,,,780548619.6,935030875.3,842630284.2,777290222.1,813925916,895407407.4,915654360.5,1047209916,1008670842,1280049435,1646158248,1502234649,1417360000,1682777191,1928666692,2085833250,2428416658,2568271801,2718422728,2808276342,2841830036,3097101015,3226165034,3868303732,3920607710,4031456630,4380035952,3733712695,4037891667,4572853061,4821154645,5101365381,5478432404,5393623890,5379455482,5996568698,6651581053,6701735809,7143825835,8203680685,9341307710,10659715146,12273849973,15115317236,15714029280,20294542235,23456651590,23283584116,24402722731,25165264264,
Gross national expenditure (current LCU),,,,,,5946999900,7124000200,6420000100,7220000200,8240999900,9066000000,9271000400,10603000400,10344000400,13460999600,17310999800,17985999800,17717000000,20699000700,23144000300,25029999000,29140999900,33223998900,37502000200,42854999300,50532000400,60538800000,69671370000,85315440000,99281160000,1.1493E+11,1.38278E+11,1.67644E+11,1.93819E+11,2.2407E+11,2.40094E+11,2.8083E+11,3.12435E+11,3.34135E+11,3.65534E+11,4.14183E+11,4.88891E+11,5.08863E+11,5.55474E+11,6.05356E+11,6.77208E+11,7.70961E+11,8.65153E+11,9.82742E+11,1.20807E+12,1.51267E+12,1.6953E+12,1.88643E+12,2.14636E+12,2.47154E+12,
Gross national expenditure (constant 2005 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8155102904,8142801275,8483143169,8876348714,9341307710,9784964623,10157882714,10895151895,11626926629,13122284827,13298663411,13917955646,14794789693,15965880200,
Gross national expenditure (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88665E+11,4.90197E+11,5.11341E+11,5.34499E+11,5.63041E+11,5.90155E+11,6.12983E+11,6.57884E+11,7.02114E+11,7.93596E+11,8.04692E+11,8.42374E+11,8.94917E+11,9.64277E+11,
Gross national expenditure (% of GDP),,,,,,106.1585149,103.111883,100.0779423,100.6552349,103.2060113,103.3987226,103.7256655,102.2567267,103.761661,105.098377,104.4656328,103.4034719,102.5289352,104.9006683,104.18186,107.1902705,106.716227,107.2156956,111.0841238,108.7966496,108.4703568,108.6404422,109.093339,110.9346995,111.2157188,111.1341359,111.6935526,109.7759609,110.323653,112.4441969,109.5442004,112.8226184,111.3798647,111.0654988,106.8700371,109.1425816,110.7293701,110.7564595,112.8481546,112.7818962,114.8955739,117.86876,118.8679453,120.4845658,122.2407394,126.8198334,124.0201938,123.5104207,126.805298,128.1575947,
Exports of goods and services (current US$),,,,,,57094107.15,51187820.21,57881612.08,52860039.96,55308641.98,42469135.8,47703703.7,57975308.64,64260833.23,66375048.85,140262469.5,156521058.8,162959992,169586603.3,218166658.3,224583341.7,293583341.7,277667728.6,250371508.8,274962728.3,302055498.2,332466622.5,349348323,399163902.9,390158303.3,381884376,450607063.7,542824053.5,674654166.7,772440816.3,1099094803,1031715001,1294985096,1108297014,1150110375,1279281888,1354826706,1073251679,993876222.1,1213488242,1185691505,1216072794,1327431105,1602782687,1596506175,1533460341,1684070416,1899081335,2059909636,2384546147,
Exports of goods and services (current LCU),,,,,,435000000,390000000,441000000,491000000,560000000,430000000,483000000,587000000,659000000,698000000,1475000100,1874000000,2036999900,2086000000,2617999900,2695000100,3523000100,3592000000,3454000100,4196000000,5370999800,6498700000,7544430000,8803560000,9879940000,10886922000,14225665000,24372800000,32383400000,37849600000,54734921200,56795910800,73853000000,68659000000,78150000000,88360000000,99579762900,81492000000,77279600000,89544200000,85958000000,87952100000,93567300000,1.04207E+11,1.22737E+11,1.14298E+11,1.21714E+11,1.53863E+11,1.81181E+11,2.34192E+11,
Exports of goods and services (constant 2005 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488533840,1143361390,1089098052,1222796722,1185691505,1170354341,1159293709,1167721893,1212941192,1086324167,1063355871,1083738926,1195711234,1478668083,
Exports of goods and services (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.18875396,-4.745948077,12.27609114,-3.034455075,-1.293520593,-0.945066903,0.727010235,3.872437358,-10.43884289,-2.114313226,1.91686107,10.33203717,23.66431294,
Exports of goods and services (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99610200000,76511835800,72880623800,81827515600,79344496400,78318159000,77578000000,78142000000,81168000000,72695000000,71158000000,72522000000,80015000000,98950000000,
Exports of goods and services (% of GDP),,,,,,7.765084037,5.644810953,6.874512753,6.84511343,7.013149743,4.90419708,5.403893247,5.661104999,6.610492262,5.449719138,8.901092981,10.77383012,11.78819387,10.57165982,11.78482957,11.54126254,12.9014543,11.59158414,10.23104295,10.6524501,11.52921436,11.66229991,11.81327508,11.44716927,11.06760466,10.52730912,11.49075129,15.95972613,18.43296411,18.99393793,24.97315898,22.81757514,26.32783507,22.82205122,22.84847209,23.28400371,22.55390207,17.73712952,15.69986449,16.68269526,14.58368679,13.44660625,12.85570609,12.77582026,12.41935419,9.582536172,8.904030421,10.07389298,10.70402914,12.14363161,
"Gross fixed capital formation, private sector (current LCU)",,,,,,,,,,,,,,,,1718000000,1811000100,1892000000,2180999900,2124999900,2215000100,2476000000,2977999900,3635000100,3768000000,6081000000,6215000000,7732000000,9838000000,8274000000,8703000000,14097000000,18946000000,25509000000,28652000000,33300000000,38457000000,41402000000,42802000000,41381000000,46888000000,66687000000,72450000000,83354000000,94226000000,1.00326E+11,1.18023E+11,1.28692E+11,1.45453E+11,1.66761E+11,2.11223E+11,2.28924E+11,2.45629E+11,3.11099E+11,3.5583E+11,
"Gross fixed capital formation, private sector (% of GDP)",,,,,,,,,,,,,,,,10.36750963,10.41163683,10.94907407,11.05311074,9.56560833,9.485675966,9.067272194,9.610171605,10.76718039,9.565879883,13.05327781,11.15318355,12.10697733,12.79223988,9.268615085,8.415525644,11.3868224,12.40616471,14.51998497,14.37833715,15.19333866,15.4499765,14.75938727,14.22725988,12.09843408,12.35559491,15.10399326,15.76909432,16.93391924,17.55494654,17.02137045,18.0440127,17.68167435,17.8325965,16.87399825,17.70855166,16.74701563,16.08210069,18.37948108,18.45096517,
Gross fixed capital formation (current US$),,,,,,,,,,,,,,,,211392178,204045337.4,206479992,267794002.1,271916675,306749991.7,358249983.3,422453816.6,476677184.2,452613801.1,546073170.1,517933138.4,576919761.5,694672400.3,638789376.7,584774505.8,721571111.8,652048997.8,776625000,857795918.4,971285140.6,1018728429,1066000351,1055286521,960544518,1061589692,1153061224,1183840379,1261295642,1479602919,1621314988,1873937949,2175378613,2744634807,2745097784,3553826339,4050297688,3914912052,4344830017,4542491579,
Gross fixed capital formation (current LCU),,,,,,,,,,,,,,,,2223000100,2443000100,2580999900,3294000100,3263000100,3680999900,4298999800,5464999900,6576000000,6906999800,9710000000,10124000000,12459000000,15321000000,16176000000,16671000000,22780000000,29277000000,37278000000,42032000000,48370000000,56081000000,60794000000,65375000000,65269000000,73324000000,84750000000,89889000000,98073000000,1.09181E+11,1.17539E+11,1.35532E+11,1.53337E+11,1.78446E+11,2.11039E+11,2.64888E+11,2.9273E+11,3.17185E+11,3.82153E+11,4.46129E+11,
Gross fixed capital formation (constant 2005 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502916336,1504894971,1561783839,1612838405,1621314988,1801185244,1896413804,1931561477,1941084333,2263620094,2247234397,2123845139,2358742252,2553898732,
Gross fixed capital formation (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131653029,3.780255002,3.268990576,0.525569275,11.09409693,5.286994191,1.853375725,0.493013349,16.61626728,-0.723871301,-5.490715971,11.05999249,8.273751795,
Gross fixed capital formation (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84750423500,84862000000,88070000000,90949000000,91427000000,1.0157E+11,1.0694E+11,1.08922E+11,1.09459E+11,1.27647E+11,1.26723E+11,1.19765E+11,1.33011E+11,1.44016E+11,
Gross fixed capital formation (% of GDP),,,,,,,,,,,,,,,,13.41500288,14.04507367,14.93634201,16.69369535,14.68827407,15.7637791,15.74321541,17.63585917,19.47867299,17.53490723,20.84317177,18.16811428,19.50864337,19.92172262,18.12051216,16.12032954,18.40049757,19.17108013,21.21902073,21.09277771,22.06912285,22.53036201,21.67243586,21.73045921,19.08249424,19.32182309,19.19509693,19.56477735,19.92418194,20.34116505,19.94173855,20.720886,21.06778122,21.87755162,21.35434374,22.20772753,21.41476597,20.76709635,22.5772948,23.13326769,
Changes in inventories (current US$),,,,,,,,,,,,,,,,17021681.58,15785741.79,15040000,25446120.25,20916666.67,49083333.33,42416666.67,-11672557.63,3769345.13,29095198.13,44878103.99,59753645.37,49685761.62,82656992.74,119378108.7,72750424.39,72663921.44,52160356.35,49479166.67,53306122.45,137771084.3,211371480.5,180431351.9,150976594,70522442.97,274330389.5,192166087.1,41232714.34,94020045.51,304776708.1,529232667.8,554467560.9,786550806.9,1058596075,1326638787,2570596759,3134445863,2588308769,2756975663,2738228574,
Changes in inventories (current LCU),,,,,,,,,,,,,,,,179000000,189000000,188000000,313000000,251000000,589000000,509000000,-151000000,52000000,444000000,798000000,1168000000,1073000000,1823000000,3023000000,2074000000,2294000000,2342000000,2375000000,2612000000,6861000000,11636000000,10290000000,9353000000,4792000000,18948000000,14124207400,3130800000,7310600000,22489700000,38367300000,40101700000,55442000000,68826000000,1.0199E+11,1.91602E+11,2.26538E+11,2.09704E+11,2.42492E+11,2.68928E+11,
Changes in inventories (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54000000,2228000000,15099000000,24657000000,19664000000,20386000000,56113000000,69746000000,1.13273E+11,1.14831E+11,69508000000,95451000000,1.21071E+11,
Gross capital formation (current US$),,,,,,47381546.4,43837774.23,42000262.73,43924432.39,38222222.22,51654320.99,68444444.44,75061728.4,89224070.42,106694562.8,228413840.5,219831070.8,221519992,293240122.3,292833325,355833341.7,400666666.7,410781259,480446507.6,481709018.9,590951274.1,577686783.8,626605523.1,777329393,758167485.3,657524930.2,794235033.3,704209354.1,826104166.7,911102040.8,1109056225,1230099909,1246431703,1206263115,1031066961,1335920081,1345227312,1225073094,1355315688,1784379627,2150547656,2428405510,2961929420,3803230882,4071736571,6124409681,7184743551,6503220822,7101805680,7280720153,
Gross capital formation (current LCU),,,,,,361000000,334000000,320000000,408000000,387000000,523000000,693000000,760000000,915000000,1122000000,2401999900,2632000000,2768999900,3607000100,3513999900,4270000100,4808000000,5313999900,6627999700,7351000100,10508000000,11292000000,13532000000,17144000000,19199000000,18745000000,25074000000,31619000000,39653000000,44644000000,55231000000,67717000000,71084000000,74728000000,70061000000,92272000000,98874207400,93019800000,1.05384E+11,1.31671E+11,1.55906E+11,1.75634E+11,2.08779E+11,2.47272E+11,3.13029E+11,4.56489E+11,5.19268E+11,5.26889E+11,6.24645E+11,7.15057E+11,
Gross capital formation (constant 2005 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571135088,1672841668,1964622841,2150547656,2245936942,2358833098,3057403539,3319913965,4463233015,4474978365,3506431605,4232438739,4910945750,
Gross capital formation (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.473445901,17.44224678,9.463639107,4.435581131,5.026684154,29.61508557,8.586057503,34.43821322,0.263157895,-21.64360764,20.70501339,16.0311124,
Gross capital formation (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84808000000,90298000000,1.06048E+11,1.16084E+11,1.21233E+11,1.27327E+11,1.65035E+11,1.79205E+11,2.4092E+11,2.41554E+11,1.89273E+11,2.28462E+11,2.65087E+11,
Gross capital formation (% of GDP),,,,,,6.444127212,4.834273995,4.988308574,5.687996496,4.846587412,5.964872263,7.75341205,7.329539692,9.178452837,8.760150248,14.49520203,15.13165468,16.02430498,18.27995111,15.81814037,18.28615598,17.60720707,17.14857376,19.63270053,18.66209766,22.55613274,20.26415907,21.18877615,22.29214886,21.50690609,18.12582192,20.2534713,20.70466177,22.57089514,22.40354892,25.19949812,27.20508772,25.34071505,24.83936911,20.48351636,24.31486635,22.39410023,20.24621117,21.40937893,24.53114957,26.4511581,26.85185695,28.68525075,30.315647,31.67437709,38.27120645,37.98723293,34.49707466,36.90352898,37.07807606,
Imports of goods and services (current US$),,,,,,102375640.4,79406746.73,58537866.18,57919962.32,80592592.59,71901234.57,80592592.59,81086419.75,100828075.2,128470913.5,210631432.4,205966336.9,197919992,248201286.2,295583341.7,364500008.3,446416683.3,450514320.5,521619397.9,502023240.4,523971558.8,578786701.1,618261278.7,780457935.2,785537967.4,785781753.6,909166930.6,875325167,1052504167,1278518367,1519145030,1611500000,1854725583,1645665860,1495923473,1781598378,1999346535,1724111682,1807225623,2143234934,2396740238,2832072584,3275663061,4172661317,4455549991,5825346141,6227147635,6331151559,7218386963,7913623942,
Imports of goods and services (current LCU),,,,,,780000000,605000000,446000000,538000000,816000000,728000000,816000000,821000000,1034000000,1351000100,2215000100,2465999900,2473999900,3052999900,3547000100,4374000100,5357000200,5827999700,7196000300,7661000200,9317000200,11313500000,13351800000,17213000000,19892100000,22401400000,28702400000,39302100000,50520200000,62647400000,75653422500,88713075000,1.05775E+11,1.01949E+11,1.01648E+11,1.23055E+11,1.46952E+11,1.30912E+11,1.40522E+11,1.58151E+11,1.73754E+11,2.04829E+11,2.30893E+11,2.71291E+11,3.42536E+11,4.34198E+11,4.50059E+11,5.12948E+11,6.34899E+11,7.77216E+11,
Imports of goods and services (constant 2005 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431713060,2065565424,2066788692,2242242343,2396740238,2551508092,2626664478,2841837449,3200834646,4105320013,3913013105,4045652843,4620121263,5451534645,
Imports of goods and services (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.05718921,0.05922195,8.489191564,6.890329916,6.457431274,2.945567229,8.191871211,12.63257322,28.25779733,-4.684334159,3.389708498,14.19964695,17.99548831,
Imports of goods and services (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46757E+11,1.2466E+11,1.24734E+11,1.35323E+11,1.44647E+11,1.53987E+11,1.58523E+11,1.71509E+11,1.93175E+11,2.47762E+11,2.36156E+11,2.44161E+11,2.78831E+11,3.29008E+11,
Imports of goods and services (% of GDP),,,,,,13.92359896,8.756693914,6.952455075,7.50034832,10.21916105,8.302919708,9.129558777,7.917831694,10.37215326,10.54809613,13.36672577,14.17730202,14.31712905,15.47232808,15.96668955,18.73153307,19.61768132,18.80727975,21.31516677,19.44909971,19.99957112,20.30274209,20.90661405,22.38186877,22.28332344,21.66144504,23.18430384,25.73568701,28.75661707,31.43813481,34.51735942,35.64019356,37.70769982,33.88755007,29.71850916,32.42658529,33.28327214,28.49358898,28.54801912,29.46459146,29.47926069,31.31536622,31.72365136,33.26038609,34.66009358,36.4023696,32.92422422,33.58431368,37.50932713,40.30122628,
External balance on goods and services (current US$),,,,,,-45281533.26,-28218926.52,-656254.1052,-5059922.358,-25283950.62,-29432098.77,-32888888.89,-23111111.11,-36567241.98,-62095864.66,-70368962.96,-49445278.1,-34960000,-78614682.87,-77416683.33,-139916666.7,-152833341.7,-172846591.9,-271247889.1,-227060512.1,-221916060.5,-246320078.5,-268912955.7,-381294032.4,-395379664,-403897377.6,-458559867,-332501113.6,-377850000,-506077551,-420050226.9,-579784999.1,-559740487.5,-537368845.8,-345813097.9,-502316490.5,-644519828.6,-650860002.6,-813349400.9,-929746692.1,-1211048734,-1615999790,-1948231956,-2569878630,-2859043816,-4291885800,-4543077219,-4432070225,-5158477326,-5529077795,
External balance on goods and services (current LCU),,,,,,-345000000,-215000000,-5000000,-47000000,-256000000,-298000000,-333000000,-234000000,-375000000,-653000100,-740000000,-591999900,-437000000,-966999900,-929000200,-1679000000,-1834000100,-2235999700,-3742000200,-3465000200,-3946000400,-4814800000,-5807370000,-8409440000,-10012160000,-11514478000,-14476735000,-14929300000,-18136800000,-24797800000,-20918501300,-31917164200,-31922000000,-33290000000,-23498000000,-34695000000,-47372207400,-49419800000,-63242600000,-68606700000,-87796300000,-1.16877E+11,-1.37326E+11,-1.67084E+11,-2.19799E+11,-3.199E+11,-3.28345E+11,-3.59085E+11,-4.53718E+11,-5.43024E+11,
External balance on goods and services (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75669044441,-80945000000,-93367000000,-1.12007E+11,-1.75067E+11,-1.64998E+11,-1.71639E+11,-1.98816E+11,,
External balance on goods and services (% of GDP),,,,,,-6.158514926,-3.111882961,-0.077942321,-0.65523489,-3.206011311,-3.398722628,-3.72566553,-2.256726695,-3.761660999,-5.098376995,-4.465632786,-3.403471906,-2.528935185,-4.900668259,-4.181859986,-7.190270532,-6.716227024,-7.215695617,-11.08412382,-8.796649604,-8.47035676,-8.640442179,-9.09333897,-10.9346995,-11.21571878,-11.13413592,-11.69355256,-9.775960879,-10.32365296,-12.44419688,-9.544200433,-12.82261842,-11.37986475,-11.06549884,-6.870037072,-9.142581584,-10.72937006,-10.75645945,-12.84815463,-12.78189619,-14.89557389,-17.86875998,-18.86794527,-20.48456584,-22.24073939,-26.81983343,-24.0201938,-23.5104207,-26.80529799,-28.15759467,
Trade (% of GDP),,,,,,21.688683,14.40150487,13.82696783,14.34546175,17.2323108,13.20711679,14.53345202,13.57893669,16.98264552,15.99781527,22.26781875,24.95113214,26.10532292,26.0439879,27.75151912,30.27279561,32.51913562,30.39886389,31.54620972,30.10154981,31.52878547,31.96504199,32.71988914,33.82903805,33.35092809,32.18875416,34.67505513,41.69541314,47.18958118,50.43207274,59.4905184,58.4577687,64.03553489,56.70960129,52.56698125,55.710589,55.83717421,46.2307185,44.24788362,46.14728672,44.06294748,44.76197247,44.57935746,46.03620635,47.07944776,45.98490577,41.82825464,43.65820666,48.21335627,52.44485789,
"Agriculture, value added (current US$)",,,,,,474865457.4,622916383.5,557684725.5,520418386.7,523851851.9,579061738.3,590024701.2,694814795.1,635099848.9,833301632.9,1087390645,960090494.4,831120016,944351862.1,1113750017,1126666667,1292499967,1369399671,1383204717,1479005931,1280038252,1388249076,1418012188,1666515506,1681166008,1770353867,1753816915,1451135857,1460208333,1644673469,1718253012,1760145322,1907504822,1815899919,1948094187,2101216158,2117346939,2187409456,2222369150,2522335327,2750051698,2927132778,3217918071,3801985041,4026522370,5309581947,6615809070,6248899959,6077086446,6031325983,
"Agriculture, value added (current LCU)",,,,,,3617999900,4745999900,4248999900,4833999900,5304000000,5863000100,5974000100,7034999800,6512999900,8762999800,11434999800,11495000100,10389000200,11616000000,13365000200,13520000000,15509999600,17714999300,19082000400,22570000400,22761000000,27136000000,30623000000,36755000000,42572000000,50470000000,55368000000,65156000000,70090000000,80589000000,85569000000,96896000000,1.08785E+11,1.12495E+11,1.32373E+11,1.45131E+11,1.55625E+11,1.6609E+11,1.72802E+11,1.86125E+11,1.99368E+11,2.11704E+11,2.26823E+11,2.47191E+11,3.09553E+11,3.95755E+11,4.78149E+11,5.06284E+11,5.34515E+11,5.92351E+11,
"Agriculture, value added (constant 2005 US$)",,,,,,976196880.4,1090494304,1045612435,1051214625,1082767120,1120243848,1128164232,1136406527,1126747480,1190174514,1210200786,1216833262,1165962871,1165512116,1200734938,1143296559,1263196107,1321085374,1306790200,1433708624,1465647584,1505249109,1494753172,1592759207,1690958440,1788449289,1826956262,1807509597,1796305227,1932882636,1926443341,2011570799,2094637680,2116402491,2173969772,2282021112,2380148019,2453513931,2535169259,2657109308,2750051698,2799054071,2826292905,2990903560,3081215361,3143202445,3284978973,3437063740,3474717873,3638839116,
"Agriculture, value added (annual % growth)",,,,,,,11.70843981,-4.115736273,0.53578075,3.001527375,3.461199363,0.707023137,0.73059358,-0.849964031,5.629214563,1.682633288,0.548047548,-4.180555585,-0.038659424,3.02208968,-4.783601871,10.48717829,4.582761632,-1.082078013,9.712226508,2.22771628,2.701981355,-0.697289009,6.556670129,6.165353353,5.765419588,2.153092804,-1.064429698,-0.619878843,7.603240591,-0.3331446,4.418892337,4.129453533,1.039072813,2.720053541,4.970231973,4.299999975,3.082409639,3.328097144,4.809937199,3.497876063,1.781870965,0.973144278,5.824260265,3.019549087,2.011773816,4.510575767,4.629702915,1.095531992,4.723296933,
"Agriculture, value added (constant LCU)",,,,,,63828231800,71301521900,68366939300,68733236200,70796283100,73246683600,73764554600,74303473700,73671920900,77819071400,79128481000,79562142700,76236003100,76206530700,78509560400,74753975600,82593558300,86378624200,85443940100,93742449100,95830764900,98420094300,97733821800,1.04142E+11,1.10563E+11,1.16937E+11,1.19455E+11,1.18183E+11,1.17451E+11,1.26381E+11,1.2596E+11,1.31526E+11,1.36957E+11,1.3838E+11,1.42144E+11,1.49209E+11,1.55625E+11,1.60422E+11,1.65761E+11,1.73734E+11,1.79811E+11,1.83015E+11,1.84796E+11,1.95559E+11,2.01464E+11,2.05517E+11,2.14787E+11,2.24731E+11,2.27193E+11,2.37924E+11,
"Agriculture, value added (% of GDP)",,,,,,65.49601675,70.50957895,67.18848565,68.42179424,67.79141191,67.29025709,68.07977012,69.44718186,66.69738488,70.52716421,71.75577274,69.29290596,63.91264349,63.04135187,64.31974655,61.774653,60.90473439,61.0083679,60.30401776,60.99340852,51.71191639,51.47485631,50.72384549,50.89733293,50.37450746,51.63276998,47.21452387,44.86481201,42.22797927,43.06739417,41.75849381,41.50503735,41.43227669,39.90571191,41.29172126,40.81953519,37.64258831,38.589953,37.53912996,37.1730321,36.34885184,34.64208222,33.56069831,32.7293888,34.03446623,36.52847708,38.29842961,36.48941031,35.09957954,34.34723263,
"Manufacturing, value added (current US$)",,,,,,24150151.07,31106444.59,28743929.81,27560428.17,30320987.65,31901234.57,33185185.19,40395061.73,38907545.46,50019019.62,63141880.28,57630485.9,58880000,64550221.98,70666666.67,78000000,87416666.67,96086028.53,105831613.3,119001981.6,141214184.4,166420041.4,173182431,209249600.4,191802670.8,208920698,250047513.5,285567928.7,304541666.7,364510204.1,392670682.7,408101725.7,435139400.3,435625504.4,446460632.8,485739105.3,522571428.6,496984064.3,499332789,564745628.4,619136824.7,661461437.1,740159602.8,879548667,851304330.9,951540195.3,1114250412,1125207820,1140481924,1107243077,
"Manufacturing, value added (current LCU)",,,,,,184000000,237000000,219000000,256000000,307000000,323000000,336000000,409000000,399000000,526000000,664000000,690000000,736000000,794000000,848000000,936000000,1049000000,1243000100,1460000000,1816000000,2511000000,3253000000,3740000000,4615000000,4857000000,5956000000,7894000000,12822000000,14618000000,17861000000,19555000000,22466000000,24816000000,26987000000,30337000000,33550000000,38409000000,37736000000,38826000000,41673000000,44885000000,47840000000,52172000000,57185000000,65447000000,70924000000,80531000000,91164000000,1.00312E+11,1.08745E+11,
"Manufacturing, value added (constant 2005 US$)",,,,,,,,,,,,,,88772567.2,96857312.88,95879793.96,99095004.8,109608693.6,108114683.4,104991171,107691635.8,111817514.9,121170528.3,126748458.2,148201997.3,183909992.8,211815088.2,216722289.8,229100136.3,212913718.4,233787607.3,275095945.1,363132506.5,385690960.3,433224844.2,441720885,481637627.7,515621792.5,533273049.5,561471116.4,601900551.3,623568971.6,590368457.5,590628217,603340198.7,619136824.7,631507872,647629197.5,642011897.8,635306855.1,654123185.6,680618657,705328281.7,731531523.6,745168898.6,
"Manufacturing, value added (annual % growth)",,,,,,,,,,,,,,,9.107256813,-1.009236054,3.353376882,10.60970612,-1.363039827,-2.889073331,2.57208759,3.831197287,8.364533447,4.603371773,16.92607497,24.09413921,15.17323502,2.316738446,5.711386001,-7.065215319,9.803919206,17.66917343,32.00212976,6.212182439,12.32434483,1.961115781,9.036643745,7.055961332,3.423295396,5.287735216,7.20062596,3.600000068,-5.324272957,0.04399956,2.152281473,2.618195517,1.99811202,2.55283048,-0.867363566,-1.04437982,2.961770418,4.050532377,3.630465377,3.715042007,1.864222464,
"Manufacturing, value added (constant LCU)",,,,,,,,,,,,,,5467984600,5965968000,5905757300,6103799600,6751394800,6659370600,6466976500,6633312800,6887448100,7463551000,7807126000,9128566000,11328015400,13046841800,13349103000,14111521800,13114512400,14400248600,16944653500,22367303500,23756801200,26684671300,27207988600,29666677600,31759946900,32847183700,34584055800,37074324300,38409000000,36364000000,36380000000,37163000000,38136000000,38898000000,39891000000,39545000000,39132000000,40291000000,41923000000,43445000000,45059000000,45899000000,
"Manufacturing, value added (% of GDP)",,,,,,3.330919684,3.521022032,3.462998048,3.623496005,3.923824181,3.707104327,3.829059655,4.03751218,4.086021338,4.233400573,4.166666719,4.159382749,4.527837588,4.309128218,4.081043341,4.276706746,4.119217797,4.280745718,4.61397464,4.907577665,5.704873339,6.170684978,6.1949248,6.39072756,5.74718084,6.093219299,6.731531777,8.82891245,8.807085191,9.545058598,9.543027807,9.623226647,9.451517933,9.573185008,9.463160522,9.436270718,9.290372205,8.767719106,8.434475642,8.322964496,8.183450778,7.82827539,7.719361583,7.571594835,7.195710302,6.546337276,6.45031326,6.570463617,6.587109852,6.305534746,
"Industry, value added (current US$)",,,,,,79800499.19,81900512.33,82688017.26,77836677.98,81679012.35,99259259.26,80691358.02,93135802.47,93222088.88,106028919.9,123906440.2,122694460.9,145679992,178773230,207416658.3,217333333.3,262333333.3,288567261.5,293501501.1,305434063.8,373927961.7,427586445.2,442448697.4,529403756,551872004.2,556712625.6,644979410.8,659777282.9,714458333.3,829285714.3,936285140.6,971825613.1,1052621427,1023502825,1028933039,1139264514,1000829932,1025431318,1074364151,1211642482,1338817001,1453141181,1638999823,2013541220,1936835396,2272499195,2668259685,2658452204,2720400474,2673664425,
"Industry, value added (current LCU)",,,,,,608000000,624000000,630000000,723000000,827000000,1005000000,817000000,943000000,956000000,1115000100,1303000100,1468999900,1820999900,2199000100,2488999900,2608000000,3148000000,3732999900,4048999900,4661000200,6649000000,8358000000,9555000000,11676000000,13975000000,15871000000,20362000000,29624000000,34294000000,40635000000,46627000000,53499000000,60031000000,63406000000,69916000000,78689000000,73561000000,77861000000,83538000000,89408000000,97059000000,1.05098E+11,1.15529E+11,1.30913E+11,1.48901E+11,1.69383E+11,1.92845E+11,2.15387E+11,2.39275E+11,2.62587E+11,
